loss,learning_rate,num_filters,kernel_sizes,optimizer,train_loss,train_accuracy,validate_loss,validate_accuracy,test_loss,test_accuracy
cross_entropy,0.001,128,"[2, 3, 4]",adam,0.5464620981196161,0.8784813837584287,1.341190194189199,0.44958968347010553,1.3755482031377502,0.42550619522514355
cross_entropy_ls,0.001,128,"[2, 3, 4]",adam,0.8586837932777629,0.8202873057754324,1.4068562168309167,0.4361078546307151,1.4130376385720196,0.42550619522514355
cross_entropy_ls,0.001,64,"[3, 4, 5]",adam,0.905979947518198,0.8276165347405453,1.4113659981686233,0.42555685814771393,1.4218112930281712,0.4218797219703838
cross_entropy,0.001,128,"[3, 4, 5]",adam,0.3788277560474236,0.9651128701260627,1.3770688886798979,0.42555685814771393,1.3694151706946296,0.42067089755213055
cross_entropy_ls,0.001,64,"[2, 3, 4]",rmsprop,0.8640845592019846,0.8463793608912342,1.418517741899837,0.42262602579132474,1.422833795020068,0.4218797219703838
cross_entropy_ls,0.0005,128,"[2, 3, 4]",adam,1.1163460822162723,0.7491937848138376,1.4242728898282069,0.4220398593200469,1.4206279547202258,0.4221819280749471
cross_entropy,0.001,64,"[2, 3, 4]",rmsprop,0.7691913904489502,0.7541776605101144,1.359148903860157,0.4196951934349355,1.359159438874506,0.4366878210939861
cross_entropy_ls,0.001,64,"[2, 3, 4]",adam,0.9552939093312152,0.7852535913221929,1.416468577675635,0.4167643610785463,1.4093901540405191,0.42883046237534
cross_entropy,0.001,64,"[2, 3, 4]",adam,0.8764832294501017,0.7335092348284961,1.3495676108010348,0.4155920281359906,1.3684939307077084,0.4203686914475672
cross_entropy_ls,0.001,64,"[3, 4, 5]",rmsprop,0.7530070016265998,0.9215772500732923,1.4405331274828626,0.4126611957796014,1.4344002640330205,0.41855545482018736
cross_entropy,0.0005,128,"[3, 4, 5]",rmsprop,0.7644853073807624,0.8328935795954265,1.37756614235054,0.4097303634232122,1.3725797394389074,0.4155333937745542
cross_entropy,0.0005,128,"[3, 4, 5]",adam,0.8072780747456971,0.8028437408384638,1.3930488812266593,0.4091441969519343,1.3700949845266472,0.41855545482018736
cross_entropy,0.001,128,"[2, 3, 4]",rmsprop,0.44541672184054226,0.9498680738786279,1.4092448369838988,0.4079718640093787,1.3915534932003095,0.4049561801148383
cross_entropy_ls,0.001,128,"[2, 3, 4]",rmsprop,0.8379045606568145,0.8454998534154207,1.4337505153866195,0.40738569753810083,1.4236272002822794,0.42006648534300395
cross_entropy,0.0005,128,"[2, 3, 4]",adam,1.014150199286227,0.70389914980944,1.3682087957509657,0.40504103165298944,1.36472244596294,0.41311574493804776
cross_entropy_ls,0.0005,128,"[2, 3, 4]",rmsprop,0.984983492704893,0.8585458809733216,1.4210361595869343,0.4044548651817116,1.4207169468505896,0.4070716228467815
cross_entropy,0.001,64,"[3, 4, 5]",rmsprop,0.6463993187525237,0.8394898856640282,1.3978343341163286,0.40328253223915594,1.4000402485434473,0.4167422181928075
cross_entropy,0.001,64,"[3, 4, 5]",adam,0.6342034004399308,0.8786279683377308,1.3731273359598337,0.4026963657678781,1.36706977753021,0.419159867029314
cross_entropy_ls,0.0005,128,"[3, 4, 5]",adam,1.2156032748111913,0.6484901788331867,1.4526869628801156,0.40211019929660025,1.4451964985175088,0.40586279842852824
cross_entropy,0.0005,64,"[2, 3, 4]",adam,1.143914680367724,0.6118440340076224,1.3953352663469483,0.399179366940211,1.3891466357045823,0.41523118766999095
cross_entropy_ls,0.0005,64,"[2, 3, 4]",rmsprop,1.16081110849579,0.6783934330108473,1.4368615017686333,0.399179366940211,1.4332503047944845,0.4037473556965851
cross_entropy_ls,0.001,128,"[3, 4, 5]",rmsprop,0.6036463991458448,0.9736147757255936,1.5065438153455852,0.39859320046893315,1.4734181451019328,0.41069809610154123
cross_entropy_ls,0.0005,64,"[3, 4, 5]",rmsprop,1.0721274247724477,0.7213427147464087,1.440365544796549,0.39859320046893315,1.4339118293852704,0.40586279842852824
cross_entropy,0.0005,128,"[2, 3, 4]",rmsprop,1.0244089639875344,0.6756083260041044,1.3907881984956658,0.39683470105509966,1.3827158107826738,0.40465397401027503
cross_entropy_ls,0.0005,64,"[2, 3, 4]",adam,1.1887088443344551,0.663441805922017,1.4351260608972727,0.39449003516998826,1.4246290317292154,0.4146267754608643
cross_entropy_ls,0.0005,128,"[3, 4, 5]",rmsprop,0.9200476092070438,0.7944884198182351,1.4482418705402478,0.39449003516998826,1.4450561419178907,0.4091870655787247
cross_entropy,0.0005,64,"[3, 4, 5]",rmsprop,0.888961023841915,0.7330694810905892,1.38081553812463,0.3939038686987104,1.3820406586499183,0.41100030220610456
cross_entropy,0.0005,64,"[2, 3, 4]",rmsprop,1.1103047920929934,0.6187335092348285,1.3961846318362328,0.39331770222743256,1.3959191669398976,0.40404956180114837
cross_entropy_ls,0.0005,64,"[3, 4, 5]",adam,1.1697973733212514,0.6527411316329522,1.4468624605802691,0.3909730363423212,1.446599828941147,0.40465397401027503
cross_entropy,0.0005,64,"[3, 4, 5]",adam,1.0109285318547419,0.6899736147757256,1.399873818909577,0.3874560375146542,1.3946559106377756,0.40465397401027503
cross_entropy_ls,0.001,128,"[3, 4, 5]",adam,0.8349796076807868,0.8995895631779537,1.4287113599732502,0.38686987104337633,1.4149873316846393,0.4218797219703838
cross_entropy,0.001,128,"[3, 4, 5]",rmsprop,0.7409623489111479,0.8229258282028731,1.4011324951545294,0.38452520515826494,1.3972299184349593,0.3940767603505591
